id,datetime,open,high,low,close,volume
CFFEX.T2212,2022-09-05 13:46:00,101.77,101.775,101.77,101.775,15.0
CFFEX.T2212,2022-09-05 13:47:00,101.775,101.775,101.765,101.765,107.0
CFFEX.T2212,2022-09-05 13:48:00,101.765,101.775,101.765,101.775,76.0
CFFEX.T2212,2022-09-05 13:49:00,101.775,101.775,101.765,101.77,63.0
CFFEX.T2212,2022-09-05 13:50:00,101.77,101.78,101.77,101.78,106.0
CFFEX.T2212,2022-09-05 13:51:00,101.78,101.78,101.775,101.78,220.0
CFFEX.T2212,2022-09-05 13:52:00,101.78,101.78,101.78,101.78,76.0
CFFEX.T2212,2022-09-05 13:53:00,101.78,101.785,101.78,101.785,230.0
CFFEX.T2212,2022-09-05 13:54:00,101.785,101.785,101.785,101.785,3.0
CFFEX.T2212,2022-09-05 13:55:00,101.785,101.785,101.78,101.785,26.0
CFFEX.T2212,2022-09-05 13:56:00,101.785,101.795,101.785,101.795,264.0
CFFEX.T2212,2022-09-05 13:57:00,101.795,101.8,101.79,101.8,278.0
CFFEX.T2212,2022-09-05 13:58:00,101.8,101.8,101.79,101.79,209.0
CFFEX.T2212,2022-09-05 13:59:00,101.79,101.79,101.785,101.785,240.0
CFFEX.T2212,2022-09-05 14:00:00,101.785,101.79,101.785,101.79,129.0
CFFEX.T2212,2022-09-05 14:01:00,101.79,101.79,101.78,101.785,361.0
CFFEX.T2212,2022-09-05 14:02:00,101.785,101.785,101.77,101.78,389.0
CFFEX.T2212,2022-09-05 14:03:00,101.78,101.78,101.78,101.78,4.0
CFFEX.T2212,2022-09-05 14:04:00,101.78,101.785,101.77,101.77,257.0
CFFEX.T2212,2022-09-05 14:05:00,101.77,101.77,101.765,101.77,218.0
CFFEX.T2212,2022-09-05 14:06:00,101.77,101.77,101.765,101.77,85.0
CFFEX.T2212,2022-09-05 14:07:00,101.77,101.77,101.765,101.765,3.0
CFFEX.T2212,2022-09-05 14:08:00,101.765,101.765,101.765,101.765,12.0
CFFEX.T2212,2022-09-05 14:09:00,101.765,101.78,101.765,101.78,272.0
CFFEX.T2212,2022-09-05 14:10:00,101.78,101.785,101.78,101.78,18.0
CFFEX.T2212,2022-09-05 14:11:00,101.78,101.785,101.775,101.775,88.0
CFFEX.T2212,2022-09-05 14:12:00,101.775,101.78,101.775,101.78,42.0
CFFEX.T2212,2022-09-05 14:13:00,101.78,101.785,101.78,101.785,92.0
CFFEX.T2212,2022-09-05 14:14:00,101.785,101.785,101.775,101.775,156.0
CFFEX.T2212,2022-09-05 14:15:00,101.775,101.78,101.77,101.775,290.0
CFFEX.T2212,2022-09-05 14:16:00,101.775,101.775,101.765,101.765,223.0
